name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"react-spinners","0.13.7","0.13.8","git+https://github.com/davidhu2000/react-spinners.git","2022-12-03T06:03:59.233Z","davidhu2000 (davidhu314@gmail.com)",504186,"MIT",true,false,false,false,false,"nestjs-blog@1.0.1"
"require-directory","2.1.1","-","-","-","-","-","-",false,true,false,false,false,"yargs@17.5.1"
"rxjs","7.5.6","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"scheduler","0.23.0","0.23.0","git+https://github.com/facebook/react.git","2022-06-14T19:47:20.413Z","gnoff (jcs.gnoff@gmail.com)",93383,"MIT",true,false,false,true,false,"react-dom@18.2.0"
"shell-quote","1.7.3","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"spawn-command","0.0.2-1","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"string-width","4.2.3","-","-","-","-","-","-",false,true,false,false,false,"cliui@7.0.4,wrap-ansi@7.0.0,yargs@17.5.1"
"strip-ansi","6.0.1","-","-","-","-","-","-",false,true,false,false,false,"cliui@7.0.4,string-width@4.2.3,wrap-ansi@7.0.0"
"supports-color","8.1.1","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"tree-kill","1.2.2","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"tslib","2.4.0","-","-","-","-","-","-",false,true,false,false,false,"rxjs@7.5.6"
"wrap-ansi","7.0.0","-","-","-","-","-","-",false,true,false,false,false,"cliui@7.0.4"
"y18n","5.0.8","-","-","-","-","-","-",false,true,false,false,false,"yargs@17.5.1"
"yargs","17.5.1","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"yargs-parser","21.0.1","-","-","-","-","-","-",false,true,false,false,false,"yargs@17.5.1"
