name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"@babel/core","7.18.9","-","-","-","-","-","-",false,true,false,true,false,"@jest/transform@27.5.1,istanbul-lib-instrument@5.2.0,jest-config@27.5.1,jest-snapshot@27.5.1,@babel/helper-compilation-targets@7.18.9,@babel/plugin-syntax-async-generators@7.8.4,@babel/plugin-syntax-bigint@7.8.3,@babel/plugin-syntax-class-properties@7.12.13,@babel/plugin-syntax-import-meta@7.10.4,@babel/plugin-syntax-json-strings@7.8.3,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel/plugin-syntax-numeric-separator@7.10.4,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel/plugin-syntax-optional-chaining@7.8.3,@babel/plugin-syntax-top-level-await@7.14.5,@babel/plugin-syntax-typescript@7.18.6,babel-jest@27.5.1,babel-preset-current-node-syntax@1.0.1,babel-preset-jest@27.5.1,ts-jest@27.1.5"
"semver","6.3.0","7.5.0","git+https://github.com/npm/node-semver.git","2019-07-23T19:25:26.568Z","isaacs (i@izs.me)",67071,"ISC",true,true,false,false,false,"@babel/core@7.18.9,@babel/helper-compilation-targets@7.18.9,istanbul-lib-instrument@5.2.0,make-dir@3.1.0"
"@babel/generator","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9,@babel/traverse@7.18.9,jest-snapshot@27.5.1"
"@jridgewell/gen-mapping","0.3.2","-","-","-","-","-","-",false,true,false,true,false,"@babel/generator@7.18.9,@jridgewell/source-map@0.3.2"
"@babel/helper-compilation-targets","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9"
"@babel/helper-environment-visitor","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-module-transforms@7.18.9,@babel/traverse@7.18.9"
"@babel/helper-function-name","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/traverse@7.18.9"
"@babel/helper-hoist-variables","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/traverse@7.18.9"
"@babel/helper-module-imports","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-module-transforms@7.18.9"
"@babel/helper-module-transforms","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9"
"@babel/helper-plugin-utils","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/plugin-syntax-async-generators@7.8.4,@babel/plugin-syntax-bigint@7.8.3,@babel/plugin-syntax-class-properties@7.12.13,@babel/plugin-syntax-import-meta@7.10.4,@babel/plugin-syntax-json-strings@7.8.3,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel/plugin-syntax-numeric-separator@7.10.4,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel/plugin-syntax-optional-chaining@7.8.3,@babel/plugin-syntax-top-level-await@7.14.5,@babel/plugin-syntax-typescript@7.18.6,babel-plugin-istanbul@6.1.1"
"@babel/helper-simple-access","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-module-transforms@7.18.9"
"@babel/helper-split-export-declaration","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-module-transforms@7.18.9,@babel/traverse@7.18.9"
"@babel/helper-validator-identifier","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-module-transforms@7.18.9,@babel/highlight@7.18.6,@babel/types@7.18.9"
"@babel/helper-validator-option","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-compilation-targets@7.18.9"
"@babel/helpers","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9"
"@babel/highlight","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/code-frame@7.18.6"
"ansi-styles","3.2.1","-","-","-","-","-","-",false,true,false,false,false,"chalk@2.4.2"
"chalk","2.4.2","-","-","-","-","-","-",false,true,false,false,false,"@babel/highlight@7.18.6"
"color-convert","1.9.3","-","-","-","-","-","-",false,true,false,false,false,"ansi-styles@3.2.1"
"color-name","1.1.3","-","-","-","-","-","-",false,true,false,false,false,"color-convert@1.9.3"
"escape-string-regexp","1.0.5","-","-","-","-","-","-",false,true,false,false,false,"chalk@2.4.2,figures@3.2.0"
"has-flag","3.0.0","-","-","-","-","-","-",false,true,false,false,false,"supports-color@5.5.0"
"supports-color","5.5.0","-","-","-","-","-","-",false,true,false,false,false,"chalk@2.4.2"
"@babel/parser","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9,@babel/template@7.18.6,@babel/traverse@7.18.9,@types/babel__core@7.1.19,@types/babel__template@7.4.1,istanbul-lib-instrument@5.2.0"
"@babel/plugin-syntax-async-generators","7.8.4","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-bigint","7.8.3","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-class-properties","7.12.13","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-import-meta","7.10.4","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-json-strings","7.8.3","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-logical-assignment-operators","7.10.4","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-nullish-coalescing-operator","7.8.3","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-numeric-separator","7.10.4","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-object-rest-spread","7.8.3","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-optional-catch-binding","7.8.3","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-optional-chaining","7.8.3","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-top-level-await","7.14.5","-","-","-","-","-","-",false,true,false,false,false,"babel-preset-current-node-syntax@1.0.1"
"@babel/plugin-syntax-typescript","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"jest-snapshot@27.5.1"
"@babel/template","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9,@babel/helper-function-name@7.18.9,@babel/helper-module-transforms@7.18.9,@babel/helpers@7.18.9,babel-plugin-jest-hoist@27.5.1"
"@babel/traverse","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9,@babel/helper-module-transforms@7.18.9,@babel/helpers@7.18.9,jest-snapshot@27.5.1"
"globals","11.12.0","-","-","-","-","-","-",false,true,false,false,false,"@babel/traverse@7.18.9"
"@babel/types","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9,@babel/generator@7.18.9,@babel/helper-function-name@7.18.9,@babel/helper-hoist-variables@7.18.6,@babel/helper-module-imports@7.18.6,@babel/helper-module-transforms@7.18.9,@babel/helper-simple-access@7.18.6,@babel/helper-split-export-declaration@7.18.6,@babel/helpers@7.18.9,@babel/template@7.18.6,@babel/traverse@7.18.9,@types/babel__core@7.1.19,@types/babel__generator@7.6.4,@types/babel__template@7.4.1,@types/babel__traverse@7.17.1,babel-plugin-jest-hoist@27.5.1,jest-snapshot@27.5.1"
"@bcoe/v8-coverage","0.2.3","-","-","-","-","-","-",false,true,false,false,false,"@jest/reporters@27.5.1"
"@colors/colors","1.5.0","-","-","-","-","-","-",false,true,true,false,false,"cli-table3@0.6.2"
"@cspotcode/source-map-support","0.8.1","0.8.1","git+https://github.com/cspotcode/node-source-map-support.git","2022-05-02T13:24:38.399Z","cspotcode (cspotcode@gmail.com)",102089,"MIT",true,false,false,true,false,"ts-node@10.9.1"
"@jridgewell/trace-mapping","0.3.9","0.3.18","git+https://github.com/jridgewell/trace-mapping.git","2022-04-20T21:42:39.301Z","jridgewell (justin+npm@ridgewell.name)",92278,"MIT",true,true,false,true,false,"@ampproject/remapping@2.2.0,@jridgewell/gen-mapping@0.3.2,@cspotcode/source-map-support@0.8.1,@jridgewell/source-map@0.3.2,terser-webpack-plugin@5.3.3"
"@eslint/eslintrc","1.3.0","-","-","-","-","-","-",false,true,false,true,false,"eslint@8.20.0"
"ajv","6.12.6","-","-","-","-","-","-",false,true,false,true,false,"@eslint/eslintrc@1.3.0,eslint@8.20.0,schema-utils@3.1.1,ajv-keywords@3.5.2"
"json-schema-traverse","0.4.1","-","-","-","-","-","-",false,true,false,false,false,"ajv@6.12.6"
"@firebase/analytics","0.8.0","0.9.5","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:47:22.875Z","google-wombot (node-team-npm+wombot@google.com)",654022,"Apache-2.0",true,false,false,false,false,"@firebase/analytics-compat@0.1.13,firebase@9.9.4"
"@firebase/analytics-compat","0.1.13","0.2.5","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:47:28.574Z","google-wombot (node-team-npm+wombot@google.com)",72187,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/analytics-types","0.7.0","0.8.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:43.718Z","feiyang.chen (feiyang.chen1@gmail.com)",22435,"Apache-2.0",true,false,false,false,false,"@firebase/analytics-compat@0.1.13"
"@firebase/app","0.7.32","-","-","-","-","-","-",true,false,false,true,false,"@firebase/app-compat@0.1.33,firebase@9.9.4,@firebase/analytics@0.8.0,@firebase/app-check@0.5.12,@firebase/auth@0.20.6,@firebase/firestore@3.4.15,@firebase/functions@0.8.4,@firebase/installations@0.5.12,@firebase/messaging@0.9.16,@firebase/performance@0.5.12,@firebase/remote-config@0.3.11,@firebase/storage@0.9.9"
"@firebase/app-check","0.5.12","0.6.5","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-22T14:36:23.795Z","google-wombot (node-team-npm+wombot@google.com)",627733,"Apache-2.0",true,false,false,false,false,"@firebase/app-check-compat@0.2.12,firebase@9.9.4"
"@firebase/app-check-compat","0.2.12","0.3.5","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-22T14:36:27.605Z","google-wombot (node-team-npm+wombot@google.com)",61766,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/app-check-interop-types","0.1.0","0.2.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-05-11T21:37:16.819Z","chholland (chholland@google.com)",2976,"Apache-2.0",true,false,false,false,false,"@firebase/functions@0.8.4"
"@firebase/app-check-types","0.4.0","0.5.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:43.637Z","feiyang.chen (feiyang.chen1@gmail.com)",7144,"Apache-2.0",true,false,false,false,false,"@firebase/app-check-compat@0.2.12"
"@firebase/app-compat","0.1.33","0.2.8","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:29:00.865Z","google-wombot (node-team-npm+wombot@google.com)",266772,"Apache-2.0",true,false,false,true,false,"firebase@9.9.4,@firebase/analytics-compat@0.1.13,@firebase/app-check-compat@0.2.12,@firebase/auth-compat@0.2.19,@firebase/firestore-compat@0.1.24,@firebase/functions-compat@0.2.4,@firebase/installations-compat@0.1.12,@firebase/messaging-compat@0.1.16,@firebase/performance-compat@0.1.12,@firebase/remote-config-compat@0.1.12,@firebase/storage-compat@0.1.17"
"@firebase/app-types","0.7.0","0.9.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:44.126Z","feiyang.chen (feiyang.chen1@gmail.com)",10465,"Apache-2.0",true,false,false,true,false,"@firebase/database-types@0.9.13,firebase@9.9.4,@firebase/auth-interop-types@0.1.6,@firebase/auth-types@0.11.0,@firebase/firestore-types@2.5.0,@firebase/installations-types@0.4.0,@firebase/storage-types@0.6.0"
"@firebase/auth","0.20.6","0.23.0","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:29:09.041Z","google-wombot (node-team-npm+wombot@google.com)",11040893,"Apache-2.0",true,false,false,false,false,"@firebase/auth-compat@0.2.19,firebase@9.9.4"
"@firebase/auth-compat","0.2.19","0.4.0","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:29:17.790Z","google-wombot (node-team-npm+wombot@google.com)",1449628,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/auth-interop-types","0.1.6","0.2.1","git+https://github.com/firebase/firebase-js-sdk.git","2021-04-23T22:41:50.557Z","feiyang.chen (feiyang.chen1@gmail.com)",2386,"Apache-2.0",true,false,false,false,false,"@firebase/database@0.13.6,@firebase/functions@0.8.4"
"@firebase/auth-types","0.11.0","0.12.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:46.921Z","feiyang.chen (feiyang.chen1@gmail.com)",16406,"Apache-2.0",true,false,false,false,false,"@firebase/auth-compat@0.2.19"
"@firebase/component","0.5.17","0.6.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:46:55.787Z","google-wombot (node-team-npm+wombot@google.com)",184828,"Apache-2.0",true,false,false,true,false,"@firebase/analytics@0.8.0,@firebase/analytics-compat@0.1.13,@firebase/app@0.7.32,@firebase/app-check@0.5.12,@firebase/app-check-compat@0.2.12,@firebase/app-compat@0.1.33,@firebase/auth@0.20.6,@firebase/auth-compat@0.2.19,@firebase/database@0.13.6,@firebase/database-compat@0.2.6,@firebase/firestore@3.4.15,@firebase/firestore-compat@0.1.24,@firebase/functions@0.8.4,@firebase/functions-compat@0.2.4,@firebase/installations@0.5.12,@firebase/installations-compat@0.1.12,@firebase/messaging@0.9.16,@firebase/messaging-compat@0.1.16,@firebase/performance@0.5.12,@firebase/performance-compat@0.1.12,@firebase/remote-config@0.3.11,@firebase/remote-config-compat@0.1.12,@firebase/storage@0.9.9,@firebase/storage-compat@0.1.17"
"@firebase/database","0.13.6","0.14.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:29:24.551Z","google-wombot (node-team-npm+wombot@google.com)",9001150,"Apache-2.0",true,false,false,false,false,"@firebase/database-compat@0.2.6,firebase@9.9.4"
"@firebase/database-compat","0.2.6","0.3.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:29:33.602Z","google-wombot (node-team-npm+wombot@google.com)",2572743,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/database-types","0.9.13","0.10.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-08-18T19:59:04.113Z","google-wombot (node-team-npm+wombot@google.com)",12199,"Apache-2.0",true,false,false,false,false,"@firebase/database-compat@0.2.6"
"@firebase/firestore","3.4.15","3.10.1","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:29:48.432Z","google-wombot (node-team-npm+wombot@google.com)",23466382,"Apache-2.0",true,false,false,false,false,"@firebase/firestore-compat@0.1.24,firebase@9.9.4"
"@firebase/firestore-compat","0.1.24","0.3.7","git+https://github.com/firebase/firebase-js-sdk.git","2022-09-02T00:30:00.696Z","google-wombot (node-team-npm+wombot@google.com)",719702,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/firestore-types","2.5.0","2.5.1","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:52.514Z","feiyang.chen (feiyang.chen1@gmail.com)",17716,"Apache-2.0",true,false,false,false,false,"@firebase/firestore-compat@0.1.24"
"@firebase/functions","0.8.4","0.9.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:47:51.313Z","google-wombot (node-team-npm+wombot@google.com)",362575,"Apache-2.0",true,false,false,false,false,"@firebase/functions-compat@0.2.4,firebase@9.9.4"
"@firebase/functions-compat","0.2.4","0.3.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:47:58.679Z","google-wombot (node-team-npm+wombot@google.com)",68459,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/functions-types","0.5.0","0.6.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:55.049Z","feiyang.chen (feiyang.chen1@gmail.com)",6734,"Apache-2.0",true,false,false,false,false,"@firebase/functions-compat@0.2.4"
"@firebase/installations","0.5.12","0.6.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:47:15.998Z","google-wombot (node-team-npm+wombot@google.com)",512365,"Apache-2.0",true,false,false,false,false,"@firebase/analytics@0.8.0,@firebase/installations-compat@0.1.12,@firebase/messaging@0.9.16,@firebase/performance@0.5.12,@firebase/remote-config@0.3.11,firebase@9.9.4"
"@firebase/installations-compat","0.1.12","0.2.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:49:25.323Z","google-wombot (node-team-npm+wombot@google.com)",39557,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/installations-types","0.4.0","0.5.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:56.117Z","feiyang.chen (feiyang.chen1@gmail.com)",2668,"Apache-2.0",true,false,false,false,false,"@firebase/installations-compat@0.1.12"
"@firebase/logger","0.3.3","0.4.0","git+https://github.com/firebase/firebase-js-sdk.git","2022-06-09T23:51:36.253Z","google-wombot (node-team-npm+wombot@google.com)",86956,"Apache-2.0",true,false,false,true,false,"@firebase/analytics@0.8.0,@firebase/app@0.7.32,@firebase/app-check@0.5.12,@firebase/app-check-compat@0.2.12,@firebase/app-compat@0.1.33,@firebase/auth@0.20.6,@firebase/database@0.13.6,@firebase/database-compat@0.2.6,@firebase/firestore@3.4.15,@firebase/performance@0.5.12,@firebase/performance-compat@0.1.12,@firebase/remote-config@0.3.11,@firebase/remote-config-compat@0.1.12"
"@firebase/messaging","0.9.16","0.12.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:48:03.009Z","google-wombot (node-team-npm+wombot@google.com)",1009067,"Apache-2.0",true,false,false,false,false,"@firebase/messaging-compat@0.1.16,firebase@9.9.4"
"@firebase/messaging-compat","0.1.16","0.2.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:48:10.700Z","google-wombot (node-team-npm+wombot@google.com)",63301,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/messaging-interop-types","0.1.0","0.2.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:16:59.375Z","feiyang.chen (feiyang.chen1@gmail.com)",2204,"Apache-2.0",true,false,false,false,false,"@firebase/functions@0.8.4,@firebase/messaging@0.9.16"
"@firebase/performance","0.5.12","0.6.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:48:14.557Z","google-wombot (node-team-npm+wombot@google.com)",623036,"Apache-2.0",true,false,false,false,false,"@firebase/performance-compat@0.1.12,firebase@9.9.4"
"@firebase/performance-compat","0.1.12","0.2.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:48:20.805Z","google-wombot (node-team-npm+wombot@google.com)",41894,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/performance-types","0.1.0","0.2.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:17:03.366Z","feiyang.chen (feiyang.chen1@gmail.com)",4889,"Apache-2.0",true,false,false,false,false,"@firebase/performance-compat@0.1.12"
"@firebase/remote-config","0.3.11","0.4.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:48:25.120Z","google-wombot (node-team-npm+wombot@google.com)",544903,"Apache-2.0",true,false,false,false,false,"@firebase/remote-config-compat@0.1.12,firebase@9.9.4"
"@firebase/remote-config-compat","0.1.12","0.2.4","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:48:30.824Z","google-wombot (node-team-npm+wombot@google.com)",58978,"Apache-2.0",true,false,false,false,false,"firebase@9.9.4"
"@firebase/remote-config-types","0.2.0","0.3.0","git+https://github.com/firebase/firebase-js-sdk.git","2021-08-25T16:17:04.386Z","feiyang.chen (feiyang.chen1@gmail.com)",6260,"Apache-2.0",true,false,false,false,false,"@firebase/remote-config-compat@0.1.12"
"@firebase/storage","0.9.9","0.11.2","git+https://github.com/firebase/firebase-js-sdk.git","2022-07-07T22:49:31.564Z","google-wombot (node-team-npm+wombot@google.com)",2187788,"Apache-2.0",true,false,false,false,false,"@firebase/storage-compat@0.1.17,firebase@9.9.4"
"@firebase/storage-compat","0.1.17","-","-","-","-","-","-",true,false,false,false,false,"firebase@9.9.4"
"@firebase/storage-types","0.6.0","-","-","-","-","-","-",true,false,false,false,false,"@firebase/storage-compat@0.1.17"
"@firebase/util","1.6.3","-","-","-","-","-","-",true,false,false,true,false,"@firebase/analytics@0.8.0,@firebase/analytics-compat@0.1.13,@firebase/app@0.7.32,@firebase/app-check@0.5.12,@firebase/app-check-compat@0.2.12,@firebase/app-compat@0.1.33,@firebase/auth@0.20.6,@firebase/auth-compat@0.2.19,@firebase/component@0.5.17,@firebase/database@0.13.6,@firebase/database-compat@0.2.6,@firebase/database-types@0.9.13,@firebase/firestore@3.4.15,@firebase/firestore-compat@0.1.24,@firebase/functions@0.8.4,@firebase/functions-compat@0.2.4,@firebase/installations@0.5.12,@firebase/installations-compat@0.1.12,@firebase/messaging@0.9.16,@firebase/messaging-compat@0.1.16,@firebase/performance@0.5.12,@firebase/performance-compat@0.1.12,@firebase/remote-config@0.3.11,@firebase/remote-config-compat@0.1.12,@firebase/storage@0.9.9,@firebase/storage-compat@0.1.17,firebase@9.9.4,@firebase/auth-interop-types@0.1.6,@firebase/auth-types@0.11.0,@firebase/firestore-types@2.5.0,@firebase/storage-types@0.6.0"
"@firebase/webchannel-wrapper","0.6.2","-","-","-","-","-","-",true,false,false,false,false,"@firebase/firestore@3.4.15"
"@grpc/grpc-js","1.6.12","1.8.14","git+https://github.com/grpc/grpc-node.git#master","2022-08-31T17:23:11.458Z","murgatroid99 (mlumish@google.com)",1475059,"Apache-2.0",true,false,false,false,false,"@firebase/firestore@3.4.15"
"@grpc/proto-loader","0.7.2","0.7.6","git+https://github.com/grpc/grpc-node.git","2022-08-17T20:07:50.014Z","murgatroid99 (mlumish@google.com)",73617,"Apache-2.0",true,false,false,false,false,"@grpc/grpc-js@1.6.12"
"protobufjs","7.1.0","7.2.3","git+https://github.com/protobufjs/protobuf.js.git","2022-08-26T22:30:54.552Z","google-wombot (node-team-npm+wombot@google.com)",2760227,"BSD-3-Clause",true,false,false,false,false,"@grpc/proto-loader@0.7.2"
"long","5.2.0","5.2.3","git+https://github.com/dcodeIO/long.js.git","2021-11-26T00:48:57.554Z","dcode (dcode+npm@dcode.io)",118698,"Apache-2.0",true,false,false,false,false,"protobufjs@7.1.0"
"@grpc/proto-loader","0.6.13","0.7.6","git+https://github.com/grpc/grpc-node.git","2022-06-06T21:45:52.106Z","murgatroid99 (mlumish@google.com)",73307,"Apache-2.0",true,false,false,false,false,"@firebase/firestore@3.4.15"
"@humanwhocodes/config-array","0.9.5","-","-","-","-","-","-",false,true,false,true,false,"eslint@8.20.0"
"@humanwhocodes/object-schema","1.2.1","-","-","-","-","-","-",false,true,false,true,false,"@humanwhocodes/config-array@0.9.5"
"@istanbuljs/load-nyc-config","1.1.0","-","-","-","-","-","-",false,true,false,false,false,"babel-plugin-istanbul@6.1.1"
"argparse","1.0.10","-","-","-","-","-","-",false,true,false,false,false,"js-yaml@3.14.1"
"js-yaml","3.14.1","-","-","-","-","-","-",false,true,false,false,false,"@istanbuljs/load-nyc-config@1.1.0"
"resolve-from","5.0.0","-","-","-","-","-","-",false,true,false,false,false,"@istanbuljs/load-nyc-config@1.1.0,resolve-cwd@3.0.0"
"@istanbuljs/schema","0.1.3","-","-","-","-","-","-",false,true,false,false,false,"babel-plugin-istanbul@6.1.1,istanbul-lib-instrument@5.2.0,test-exclude@6.0.0"
"@jest/console","27.5.1","-","-","-","-","-","-",false,true,false,false,false,"@jest/core@27.5.1,@jest/reporters@27.5.1,@jest/test-result@27.5.1,jest-runner@27.5.1"
"@jest/core","27.5.1","-","-","-","-","-","-",false,true,false,false,false,"jest@27.5.1,jest-cli@27.5.1"
"@jest/environment","27.5.1","-","-","-","-","-","-",false,true,false,false,false,"@jest/globals@27.5.1,jest-circus@27.5.1,jest-environment-jsdom@27.5.1,jest-environment-node@27.5.1,jest-jasmine2@27.5.1,jest-runner@27.5.1,jest-runtime@27.5.1"
"@jest/fake-timers","27.5.1","-","-","-","-","-","-",false,true,false,false,false,"@jest/environment@27.5.1,jest-environment-jsdom@27.5.1,jest-environment-node@27.5.1,jest-runtime@27.5.1"
"@jest/globals","27.5.1","-","-","-","-","-","-",false,true,false,false,false,"jest-runtime@27.5.1"
